"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Results"
"Propagation of Input Tail Uncertainty in Rare-Event Estimation: A Light
  versus Heavy Tail Dichotomy","http://arxiv.org/abs/2401.00172v1","2023","Preprint","","Zhiyuan Huang
Henry Lam
Zhenyuan Liu","","http://arxiv.org/pdf/2401.00172v1","Yes","","","","","","","http://arxiv.org/abs/2401.00172v1","2023-12-30T08:42:04Z","math.ST","math.ST, math.PR, stat.TH, 60F10, 62G32, 65C05","arXiv","- **Relevance Score:** 87/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to analyze tail behavior and bootstrap to quantify model error; estimates rare-event probabilities, but lacks explicit VaR/ES focus, domain application, and formal comparisons or proofs. Includes some numerical experiments.","We consider the estimation of small probabilities or other risk quantities associated with rare but catastrophic events. In the model-based literature, much of the focus has been devoted to efficient Monte Carlo computation or analytical approximation assuming the model is accurately specified. In this paper, we study a distinct direction on the propagation of model uncertainty and how it impacts the reliability of rare-event estimates. Specifically, we consider the basic setup of the exceedance of i.i.d. sum, and investigate how the lack of tail information of each input summand can affect the output probability. We argue that heavy-tailed problems are much more vulnerable to input uncertainty than light-tailed problems, reasoned through their large deviations behaviors and numerical evidence. We also investigate some approaches to quantify model errors in this problem using a combination of the bootstrap and extreme value theory, showing some positive outcomes but also uncovering some statistical challenges.","Heavy-tailed problems are argued to be much more vulnerable to input uncertainty than light-tailed problems, a conclusion supported by large deviations behaviors and numerical evidence. The paper investigates approaches to quantify model errors using a combination of the bootstrap and extreme value theory. These approaches show some positive outcomes, but also uncover statistical challenges. The core finding is that the lack of tail information of each input summand significantly affects the output probability in rare-event estimation."
"Extreme value theory and fat tails in equity markets","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=873656","2005","Journal Article","Social Science Research Network","Blake LeBaron
Ritirupa Samanta","10.2139/SSRN.873656","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=873656","Yes","83","CVVzaKPH-egJ","","","","","","","","","SciSpace","- **Relevance Score:** 87/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model equity return extremes; applies bootstrap resampling to EVT parameters; focuses on tail thickness rather than explicit VaR/ES; compares bootstrap Monte Carlo results; finance application; lacks formal asymptotic proofs; includes extensive Monte Carlo/bootstrapping experiments.","Extreme Value Theory (EVT) offers a powerful framework to characterize financial market crashes and booms. This paper applies EVT to model the behavior of extreme events and compares tail thickness between emerging and developed market equity return distributions. We extend previous results by augmenting parametric Monte Carlo tests with nonparametric bootstrap tests. We construct Monte Carlo and Bootstrapping experiments to estimate the statistical significance of differences in tail behavior between markets and regions. Within each market we find little evidence for asymmetry between positive and negative tails. We find mixed evidence for uniformity inside each region, and strong evidence for differences in tail behavior between emerging and developed regions. Our regional results have important implications for the expected diversification benefits of international portfolio allocation decisions.","The paper finds little evidence for asymmetry between positive and negative tails within each market. It presents mixed evidence for uniformity inside each region, but strong evidence for differences in tail behavior between emerging and developed regions. These regional findings have important implications for the expected diversification benefits of international portfolio allocation decisions. The study extends previous results by augmenting parametric Monte Carlo tests with nonparametric bootstrap tests to estimate the statistical significance of differences in tail behavior."
"Extremal Quantile Regression: An Overview","http://arxiv.org/abs/1612.06850v2","2016","Preprint","","Victor Chernozhukov
Iván Fernández-Val
Tetsuya Kaji","10.1201/9781315120256","http://arxiv.org/pdf/1612.06850v2","Yes","","","","","","","http://arxiv.org/abs/1612.06850v2","2017-02-08T16:49:01Z","stat.ME","stat.ME, econ.EM","arXiv","- **Relevance Score:** 86/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT approximations for tail quantile regression, employs bootstrap and subsampling within EVT, estimates conditional VaR, applies methods to finance, offers some comparisons and theoretical insights, and includes empirical illustrations rather than extensive simulations.","Extremal quantile regression, i.e. quantile regression applied to the tails of the conditional distribution, counts with an increasing number of economic and financial applications such as value-at-risk, production frontiers, determinants of low infant birth weights, and auction models. This chapter provides an overview of recent developments in the theory and empirics of extremal quantile regression. The advances in the theory have relied on the use of extreme value approximations to the law of the Koenker and Bassett (1978) quantile regression estimator. Extreme value laws not only have been shown to provide more accurate approximations than Gaussian laws at the tails, but also have served as the basis to develop bias corrected estimators and inference methods using simulation and suitable variations of bootstrap and subsampling. The applicability of these methods is illustrated with two empirical examples on conditional value-at-risk and financial contagion.","The paper overviews extremal quantile regression, highlighting theoretical advances based on extreme value approximations for the Koenker and Bassett (1978) estimator. These extreme value laws offer more accurate approximations at the tails than Gaussian laws and underpin bias-corrected estimators and inference methods using simulation, bootstrap, and subsampling. The methods' applicability is illustrated with empirical examples focusing on conditional value-at-risk and financial contagion. This approach provides theoretical insights and practical implications for economic and financial applications like value-at-risk estimation."
"Mixed-Tail Quantile Functions for Extreme Value Analysis","https://scispace.com/papers/mixed-tail-quantile-functions-for-extreme-value-analysis-u7hs3poe7hz9","2025","Journal Article","","Edoardo Redivo
Alessio Farcomeni
Cinzia Viroli","10.21203/rs.3.rs-7328610/v1","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 80/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses mixed-tail quantile model grounded in EVT, applies bootstrap for inference, provides asymptotic theory and simulations, estimates extreme quantiles (not explicitly VaR/ES), compares to other methods, and demonstrates on ice‑extent data.","<title>Abstract</title> This paper introduces a parametric mixed-tail quantile model which flexibly combines Gumbel, Fr\'echet, and Weibull tail behaviors through weighted quantile functions. Unlike classical extreme value models, our approach simultaneously captures multiple tail types, enhancing finite-sample adaptability and modeling accuracy. Parameters are estimated using a computationally efficient least squares approach based on the expected order statistics. We establish asymptotic properties, and address inference challenges via bootstrap methods. Theoretical results, including tail dominance and adaptive bias–variance decomposition, guide practical quantile estimation. Simulations and an application on global ice extents demonstrate improved performance in modeling extreme quantiles.","The paper introduces a mixed-tail quantile model that combines Gumbel, Fréchet, and Weibull tail behaviors, demonstrating enhanced finite-sample adaptability and modeling accuracy compared to classical extreme value models. Theoretical results include tail dominance and adaptive bias–variance decomposition, guiding practical quantile estimation. Simulations and an application on global ice extents show improved performance in modeling extreme quantiles. Parameters are estimated using a computationally efficient least squares approach, with inference challenges addressed via bootstrap methods. This approach offers a flexible and accurate method for extreme value analysis."
"Bootstrap and empirical likelihood methods in extremes","https://scispace.com/papers/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7","2008","Journal Article","Extremes","Yongcheng Qi","10.1007/S10687-007-0049-8","https://scispace.com/pdf/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 78/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT as core framework, applies bootstrap to Hill and moment estimators, provides confidence intervals for tail index and high quantiles, but lacks explicit VaR/ES focus, domain examples, and extensive simulations.","One of the major interests in extreme-value statistics is to infer the tail properties of the distribution functions in the domain of attraction of an extreme-value distribution and to predict rare events. In recent years, much effort in developing new methodologies has been made by many researchers in this area so as to diminish the impact of the bias in the estimation and achieve some asymptotic optimality in inference problems such as estimating the optimal sample fractions and constructing confidence intervals of various quantities. In particular, bootstrap and empirical likelihood methods, which have been widely used in many areas of statistics, have drawn attention. This paper reviews some novel applications of the bootstrap and the empirical likelihood techniques in extreme-value statistics.","This paper reviews novel applications of bootstrap and empirical likelihood techniques within extreme-value statistics. The focus is on methods developed to diminish bias in estimation and achieve asymptotic optimality for inference problems. These applications include estimating optimal sample fractions and constructing confidence intervals for various quantities. The paper highlights the use of these techniques for inferring tail properties of distribution functions and predicting rare events."
"Regression estimator for the tail index","http://arxiv.org/abs/1708.04815v3","2017","Preprint","","László Németh
András Zempléni","","http://arxiv.org/pdf/1708.04815v3","Yes","","","","","","","http://arxiv.org/abs/1708.04815v3","2018-06-04T08:45:24Z","stat.ME","stat.ME, math.ST, stat.TH, 62G32, 62F40, 60G70","arXiv","- **Relevance Score:** 78/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to develop a new tail‑index estimator; mentions bootstrap but does not apply it; focuses on tail‑risk estimation and compares with existing methods; lacks domain application, formal proofs, and simulation results.","Estimating the tail index parameter is one of the primal objectives in extreme value theory. For heavy-tailed distributions the Hill estimator is the most popular way to estimate the tail index parameter. Improving the Hill estimator was aimed by recent works with different methods, for example by using bootstrap, or Kolmogorov-Smirnov metric. These methods are asymptotically consistent, but for tail index $\xi >1$ and smaller sample sizes the estimation fails to approach the theoretical value for realistic sample sizes. In this paper, we introduce a new empirical method, which can estimate high tail index parameters well and might also be useful for relatively small sample sizes.","This paper introduces a new empirical method for estimating the tail index parameter. The method aims to estimate high tail index parameters well, particularly when the Hill estimator and other recent methods (like bootstrap or Kolmogorov-Smirnov) fail for $\xi > 1$ and smaller sample sizes. This new approach might also be useful for relatively small sample sizes, addressing a limitation of existing asymptotically consistent methods. The core finding is the development of an estimator that performs better for challenging scenarios in extreme value theory."
"Consistency of full-sample bootstrap for estimating high-quantile, tail
  probability, and tail index","http://arxiv.org/abs/2004.12639v1","2020","Preprint","","Svetlana Litvinova
Mervyn J. Silvapulle","","http://arxiv.org/pdf/2004.12639v1","Yes","","","","","","","http://arxiv.org/abs/2004.12639v1","2020-04-27T08:37:40Z","math.ST","math.ST, stat.ME, stat.TH, 62G32, 62G09, 62E20","arXiv","- **Relevance Score:** 76/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses full-sample bootstrap to construct confidence intervals for high‑quantiles and tail index, proving consistency and showing superior performance in simulations; compares mainly to standard asymptotic methods, but lacks a specific applied case study.","We show that the full-sample bootstrap is asymptotically valid for constructing confidence intervals for high-quantiles, tail probabilities, and other tail parameters of a univariate distribution. This resolves the doubts that have been raised about the validity of such bootstrap methods. In our extensive simulation study, the overall performance of the bootstrap method was better than that of the standard asymptotic method, indicating that the bootstrap method is at least as good, if not better than, the asymptotic method for inference. This paper also lays the foundation for developing bootstrap methods for inference about tail events in multivariate statistics; this is particularly important because some of the non-bootstrap methods are complex.","The full-sample bootstrap is shown to be asymptotically valid for constructing confidence intervals for high-quantiles, tail probabilities, and other tail parameters of a univariate distribution, resolving previous doubts about its validity. An extensive simulation study demonstrated that the bootstrap method's overall performance was better than that of the standard asymptotic method, suggesting it is at least as good, if not superior, for inference. This research indicates that the bootstrap method provides a robust alternative for tail parameter estimation and lays the groundwork for developing bootstrap methods for multivariate tail events, which is crucial given the complexity of non-bootstrap approaches in that domain."
"Tail Risk Dynamics in Stock Returns: Links to the Macroeconomy and Global Markets Connectedness","https://scispace.com/papers/tail-risk-dynamics-in-stock-returns-links-to-the-1qlsm9vwkr","2016","Journal Article","Social Science Research Network","Daniele Massacci","10.2139/SSRN.2517198","https://scispace.com/pdf/tail-risk-dynamics-in-stock-returns-links-to-the-1qlsm9vwkr.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model extreme stock returns and estimate tail‑risk measures; applies methodology to finance. No bootstrap techniques described; limited method comparisons; lacks theoretical proofs and simulation validation.","We propose a new time-varying peaks over threshold model to study tail risk dynamics in equity markets: the laws of motion for the parameters are defined through the score-based approach. We apply the model to daily returns from U.S. size-sorted decile stock portfolios and show that large firms tail risk increases during recessions more than small firms tail risk. Our results are consistent with the granular hypothesis of aggregate fluctuations and we quantify the impact of large firms tail risk shocks on the economy. A measure of tail connectedness is proposed: evidence from international equity markets shows that tail connectedness increases during periods of turmoil.","The paper's findings show that large firms' tail risk increases more during recessions than small firms' tail risk, consistent with the granular hypothesis of aggregate fluctuations. The study quantifies the impact of large firms' tail risk shocks on the economy. Additionally, evidence from international equity markets indicates that tail connectedness increases during periods of turmoil."
"Estimation of tail-related value-at-risk measures: range-based extreme value approach","https://www.tandfonline.com/doi/abs/10.1080/14697688.2013.819113","2014","Journal Article","Quantitative Finance","Heng-Chih Chou
David K. Wang","10.1080/14697688.2013.819113","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2278292","No","15","OdZlcMKMbmoJ","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model tail of ACARR residuals and estimates VaR, applies to financial data, compares with McNeil‑Frey method, but lacks bootstrap, theoretical proofs, or simulation validation.","This study proposes a new approach for estimating value-at-risk (VaR). This approach combines quasi-maximum-likelihood fitting of asymmetric conditional autoregressive range (ACARR) models to estimate the current volatility and classical extreme value theory (EVT) to estimate the tail of the innovation distribution of the ACARR model. The proposed approach reflects two well-known phenomena found in most financial time series: stochastic volatility and the fat-tailedness of conditional distributions. This approach presents two main advantages over the McNeil and Frey approach. First, the ACARR model in this approach is an asymmetric model that treats the upward and downward movements of the asset price asymmetrically, whereas the generalized autoregressive conditional heteroskedasticity model in the McNeil and Frey approach is a symmetric model that ignores the asymmetric structure of the asset price. Second, the proposed method uses classical EVT to estimate the tail of the distribution of the residuals t...","The study proposes a new approach for estimating value-at-risk (VaR) by combining quasi-maximum-likelihood fitting of asymmetric conditional autoregressive range (ACARR) models for volatility estimation and classical extreme value theory (EVT) for the innovation distribution tail. This approach reflects stochastic volatility and fat-tailedness in financial time series. It offers two main advantages over the McNeil and Frey approach: using an asymmetric ACARR model that accounts for asset price asymmetry, unlike the symmetric GARCH model, and employing classical EVT for residual tail estimation. The metadata does not provide specific empirical results, statistical findings, or validation outcomes beyond these methodological advantages."
"Tail risk and systemic risk of finance and technology (FinTech) firms","https://scispace.com/papers/tail-risk-and-systemic-risk-of-finance-and-technology-1oncdmeh","2022","Journal Article","Technological Forecasting and Social Change","","10.1016/j.techfore.2021.121191","https://scispace.com/pdf/tail-risk-and-systemic-risk-of-finance-and-technology-1oncdmeh.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT (GEV, POT, GPD) to estimate tail‑VaR and expected shortfall for FinTech firms; no bootstrap methods; applies to finance domain; lacks comparisons, theory, simulations.","","The authors evaluate the tail risk and systemic risk of technology firms using univariate extreme value theory (EVT) to determine equity tail risk. They conclude that technology firms are riskier than finance firms. The paper's relevance summary indicates it uses EVT methods (GEV, POT, GPD) to estimate tail-VaR and expected shortfall for FinTech firms."
"Risk-Averse Action Selection Using Extreme Value Theory Estimates of the CVaR.","https://scispace.com/papers/risk-averse-action-selection-using-extreme-value-theory-a5i65gdak3dy","","","","Dylan Troop
Frédéric Godin
Jia Yuan Yu","10.48550/arxiv.1912.01718","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 72/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT GPD fitting for CVaR estimation (primary framework); compares to naive sample averaging; applies to reinforcement‑learning bandits; provides empirical simulation results but lacks bootstrap or theoretical guarantees.","The Conditional Value-at-Risk (CVaR) is a useful risk measure in machine learning, finance, insurance, energy, etc. When the CVaR confidence parameter is very high, estimation by sample averaging exhibits high variance due to the limited number of samples above the corresponding threshold. To mitigate this problem, we present an estimation procedure for the CVaR that combines extreme value theory and a recently introduced method of automated threshold selection by Bader et al. (2018). Under appropriate conditions, we estimate the tail risk using a generalized Pareto distribution. We compare empirically this estimation procedure with the naive method of sample averaging, and show an improvement in accuracy for some specific cases. We also show how the estimation procedure can be used in reinforcement learning by applying our method to the multi-armed bandit problem where the goal is to avoid catastrophic risk.","The paper empirically compares its CVaR estimation procedure, which combines extreme value theory and automated threshold selection, with the naive method of sample averaging. This new procedure shows an improvement in accuracy for some specific cases, particularly when the CVaR confidence parameter is very high. The estimation procedure can be applied in reinforcement learning, demonstrated by its use in the multi-armed bandit problem to avoid catastrophic risk."
"Modeling and Estimation of Market Risk Using Extreme Value Theory","https://scispace.com/papers/modeling-and-estimation-of-market-risk-using-extreme-value-182e1e67xe","2018","Journal Article","Mathematical theory and modeling","Sheillah Wanjala
George Otieno Orwa
Joel Koima
Joyce Jeptoo","","https://scispace.com/pdf/modeling-and-estimation-of-market-risk-using-extreme-value-182e1e67xe.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** The paper centers on EVT for tail‑risk (VaR/ES) estimation in finance, but lacks bootstrap methods, alternative comparisons, theoretical proofs, or simulation validation.","Most commercial airline agencies have suffered losses due to extreme conditions like climatic conditions, price fluctuations and airline problems. One of these airline agencies that have experienced large losses is the Kenya Airways. This study assesses the market risk in the Kenyan stock market using Kenya Airways (KQ) share prices. This paper helps an investor to weigh whether to invest in the company at a particular time or not. Due to the fluctuations and variations of share prices, the Extreme Value Theory has been used to capture the extreme and rare events. Extreme Value Theory provides a well-established statistical model for the computation of extreme risk measures which include; Value at Risk and Expected Shortfall. In this paper, Univariate Extreme Value Theory is applied to model extreme prices of shares for the Kenya airways in Kenyan market. This paper demonstrates how successful Extreme value theory can be applied in predicting future Value at Risk to the share prices. This provides solutions to the problems faced by the investors and the owners of the commercial agency in the market. This paper concentrates on the Peak over Threshold (POT) as the method of estimating Value at Risk. This technique models the distribution of extremes and the distribution of exceedances over a certain high threshold rather than the individual observations. It concentrates on observations that exceed central limits, focusing on the tail of the distribution. Extreme value theory is also applied to compute the tail risk measures at given confidence interval. An overview of the Extreme Value Theory and Peaks Over Threshold Method are also given. This paper also shows that POT is the best method since the modeling the exceedances, they follow a generalized pareto distribution (GPD) which fits the sample losses very well. This technique of extreme value theory helps us to model and estimate the stock market risk of the Kenya airways since it helps us to assess the goodness of fit of the series and detect the outliers and also in estimation of the extreme quantiles.This study used the stock data which was obtained from the Nairobi stock exchange (NSE). With Generalized Pareto Distribution the estimates of value at risk and the expected shortfall for share prices indicate that with probability 5% the daily loss for the stock market prices exceeds 2.5105%, for 1% the daily loss exceeds 2.5330, for 0.5% the daily loss exceeds 2.5358 and for 0.1% the daily loss exceeds 2.5380%. These results can be used to estimate risk measures in the stock market as well as providing insights to the managers of the airline and also as a reference for actual or potential investors in the airline industry. Keywords: Extreme Value Theory, Peak -Over Threshold (POT), Generalized Pareto Distribution (GPD), Value at Risk (VaR), Expected Shortfall (ES).","With Generalized Pareto Distribution, estimates for Value at Risk and Expected Shortfall for Kenya Airways share prices show that with 5% probability, the daily loss exceeds 2.5105%; for 1%, it exceeds 2.5330%; for 0.5%, it exceeds 2.5358%; and for 0.1%, it exceeds 2.5380%. These findings demonstrate that Extreme Value Theory successfully predicts future Value at Risk for share prices. The Peak over Threshold (POT) method, modeling exceedances with a Generalized Pareto Distribution, is identified as the best method, fitting sample losses well and aiding in assessing goodness of fit, detecting outliers, and estimating extreme quantiles. These results provide insights for airline managers and serve as a reference for investors in the airline industry."
"Estimating Value at Risk and Expected Shortfall: A Brief Review and Some
  New Developments","https://scispace.com/papers/estimating-value-at-risk-and-expected-shortfall-a-brief-2wu1yjjztz","2024","Preprint","","Kanon Kamronnaher
Andrew Bellucco
Whitney K. Huang
Colin Gallagher","10.48550/arxiv.2405.06798","https://scispace.com/pdf/estimating-value-at-risk-and-expected-shortfall-a-brief-2wu1yjjztz.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Estimates VaR/ES with GARCH and LLQAR, uses EVT‑based tail modeling and an ES bootstrap test, applies to US stocks, compares methods, but lacks formal EVT‑bootstrap theory.","Value-at-risk (VaR) and expected shortfall (ES) are two commonly utilized metrics for quantifying financial risk. In this study, we review the widely employed Generalized Autoregressive Conditional Heteroskedasticity (GARCH) models. These models are explored with diverse distributional assumptions on innovation, including parametric, non-parametric, and `semi-parametric' that incorporates a parametric tail distribution based on extreme value theory. Additionally, we introduce a non-parametric local linear quantile autoregression (LLQAR) with kernel weights depending on the distance between the current loss and past losses, and decreasing in the time lag. To evaluate the performance of different methods for VaR and ES estimation, we employ a multi-criteria approach. This involves mean squared error assessment using simulated data, backtesting on both simulated data and US stocks, and application of the ESBootstrap test. The LLQAR method, which does not necessarily require stationarity assumptions, seems to perform better for simulated non-stationary data as well as real-world data, for estimating VaR and ES.","The study introduces a non-parametric local linear quantile autoregression (LLQAR) method for estimating Value-at-Risk (VaR) and Expected Shortfall (ES). This LLQAR method, which does not require stationarity assumptions, demonstrated better performance for simulated non-stationary data and real-world data compared to GARCH models. Evaluation involved mean squared error assessment on simulated data, backtesting on both simulated data and US stocks, and application of the ESBootstrap test. The LLQAR method's superior performance suggests a practical implication for more robust risk estimation in non-stationary financial environments."
"Performance Analysis of VaR and ES Based on Extreme Value Theory","https://scispace.com/papers/performance-analysis-of-var-and-es-based-on-extreme-value-2byqw2kzd2","2006","Journal Article","Communications for Statistical Applications and Methods","Sung-Chil Yeo","10.5351/CKSS.2006.13.2.389","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 70/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to estimate VaR and ES, backtests on financial data; no bootstrap techniques, comparisons, theoretical proofs, or simulation studies are provided.","Extreme value theory has been used widely in many areas of science and engineering to deal with the assessment of extreme events which are rare but have catastrophic consequences. The potential of extreme value theory has only been recognized recently in finance area. In this paper, we provide an overview of extreme value theory for estimating and assessing value at risk and expected shortfall which are the methods for modelling and measuring the extreme financial risks. We illustrate that the approach based on extreme value theory is very useful for estimating tail related risk measures through backtesting of an empirical data.","The paper illustrates that the approach based on extreme value theory is very useful for estimating tail-related risk measures. This utility is demonstrated through backtesting of empirical data. The practical implication is its effectiveness for estimating Value at Risk (VaR) and Expected Shortfall (ES), which are methods for modeling and measuring extreme financial risks."
"Estimation of value-at-risk measures in the Islamic stock market: Approach based on Extreme Value Theory (EVT)","https://scispace.com/papers/estimation-of-value-at-risk-measures-in-the-islamic-stock-57lgwpto3u","2014","","","Haïfa Frad
Ezzeddine Zouari","10.11648/J.JWER.20140302.11","https://scispace.com/pdf/estimation-of-value-at-risk-measures-in-the-islamic-stock-57lgwpto3u.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 68/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model tail of Islamic stock returns and estimates VaR/ES, directly meeting EVT foundation and tail‑risk goals; applies method to finance sector, but lacks bootstrap, comparisons, theory, or simulations.","In this paper, we have combined the Extreme Value Approach with GARCH model which is called conditional EVT. We have used their approach on the Islamic stock price index to measure the conditional VaR and the related risk statistic expected shortfall (ES). The dynamic risk measures have been estimated for different percentiles for negative and positive returns. The empirical results show a strong stability across of the selected threshold, implying the accuracy and reliability of the estimated quantile based risk measures. Interested islamic index fund managers could employ these techniques as a means of risk management.","The empirical results demonstrate a strong stability across the selected threshold, indicating the accuracy and reliability of the estimated quantile-based risk measures. The study applied a conditional Extreme Value Theory approach, combining EVT with a GARCH model, to measure conditional VaR and Expected Shortfall (ES) on the Islamic stock price index. Dynamic risk measures were estimated for various percentiles for both negative and positive returns. These techniques could be employed by interested Islamic index fund managers for risk management purposes."
"Statistics for Heteroscedastic Time Series Extremes","http://arxiv.org/abs/2204.09534v1","2022","Preprint","","Axel Bücher
Tobias Jennessen","","http://arxiv.org/pdf/2204.09534v1","Yes","","","","","","","http://arxiv.org/abs/2204.09534v1","2022-04-20T15:15:56Z","math.ST","math.ST, stat.TH, Primary 62G32, 62M10, 62G20, secondary 60F17","arXiv","- **Relevance Score:** 68/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model heteroscedastic extremes; employs bootstrap for homoscedasticity testing; provides consistency proofs and limit theorems; includes Monte Carlo simulations; does not estimate VaR/ES or target specific application domains.","Einmahl, de Haan and Zhou (2016, Journal of the Royal Statistical Society: Series B, 78(1), 31-51) recently introduced a stochastic model that allows for heteroscedasticity of extremes. The model is extended to the situation where the observations are serially dependent, which is crucial for many practical applications. We prove a local limit theorem for a kernel estimator for the scedasis function, and a functional limit theorem for an estimator for the integrated scedasis function. We further prove consistency of a bootstrap scheme that allows to test for the null hypothesis that the extremes are homoscedastic. Finally, we propose an estimator for the extremal index governing the dynamics of the extremes and prove its consistency. All results are illustrated by Monte Carlo simulations. An important intermediate result concerns the sequential tail empirical process under serial dependence.","The paper extends a stochastic model for heteroscedastic extremes to serially dependent observations. It proves a local limit theorem for a kernel estimator of the scedasis function and a functional limit theorem for an integrated scedasis function estimator. Consistency is shown for a bootstrap scheme to test homoscedastic extremes and for an estimator of the extremal index. All results are illustrated through Monte Carlo simulations."
"A goodness-of-fit test for bivariate extreme-value copulas","http://arxiv.org/abs/1102.2078v1","2011","Preprint","","Christian Genest
Ivan Kojadinovic
Johanna Nešlehová
Jun Yan","10.3150/10-BEJ279","http://arxiv.org/pdf/1102.2078v1","Yes","","","","","","","http://arxiv.org/abs/1102.2078v1","2011-02-10T10:56:33Z","math.ST","math.ST, stat.TH","arXiv","- **Relevance Score:** 68/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT copulas and parametric bootstrap to test Pickands functions; provides asymptotic validity and Monte Carlo power study, but does not estimate tail‑risk measures or apply to specific domains.","It is often reasonable to assume that the dependence structure of a bivariate continuous distribution belongs to the class of extreme-value copulas. The latter are characterized by their Pickands dependence function. In this paper, a procedure is proposed for testing whether this function belongs to a given parametric family. The test is based on a Cram\'{e}r--von Mises statistic measuring the distance between an estimate of the parametric Pickands dependence function and either one of two nonparametric estimators thereof studied by Genest and Segers [Ann. Statist. 37 (2009) 2990--3022]. As the limiting distribution of the test statistic depends on unknown parameters, it must be estimated via a parametric bootstrap procedure, the validity of which is established. Monte Carlo simulations are used to assess the power of the test and an extension to dependence structures that are left-tail decreasing in both variables is considered.","The paper proposes a goodness-of-fit test for bivariate extreme-value copulas, based on a Cramér--von Mises statistic. The test measures the distance between an estimate of the parametric Pickands dependence function and two nonparametric estimators. Its validity is established through a parametric bootstrap procedure used to estimate the limiting distribution, which depends on unknown parameters. Monte Carlo simulations were used to assess the power of the test. An extension to dependence structures that are left-tail decreasing in both variables is also considered."
"Extreme value theory in finance: A survey","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-6419.2012.00744.x","2014","Journal Article","Journal of Economic Surveys","Marco Rocco","10.1111/J.1467-6419.2012.00744.X","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1998740","Yes","210","VK-IU19FCo0J","","","","","","","","","SciSpace","- **Relevance Score:** 67/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Provides a comprehensive EVT overview for finance, detailing VaR/ES applications, but lacks bootstrap techniques, dedicated simulations, or focused methodological comparisons.","Extreme value theory is concerned with the study of the asymptotic distribution of extreme events, that is to say events which are rare in frequency and huge in magnitude with respect to the majority of observations. Statistical methods derived from it have been employed increasingly in finance, especially for risk measurement. This paper surveys some of those main applications, namely for testing different distributional assumptions for the data, for Value‐at‐Risk and Expected Shortfall calculations, for asset allocation under safety‐first type constraints, and for the study of contagion and dependence across markets under conditions of stress.","This paper surveys the main applications of Extreme Value Theory (EVT) in finance, focusing on its use for risk measurement. Key applications include testing different distributional assumptions for data, calculating Value-at-Risk and Expected Shortfall, and informing asset allocation under safety-first constraints. EVT methods are also applied to study contagion and dependence across markets during stress conditions. The paper highlights the increasing employment of these statistical methods in finance due to their ability to analyze rare, high-magnitude events."
