"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A Comparison of Extreme Value Theory Approaches for Determining Value at Risk","https://scispace.com/paper/a-comparison-of-extreme-value-theory-approaches-for-14ww9y382h","2004","Posted Content","Social Science Research Network","Chris Brooks
Andrew Clare
John W. Dalle Molle
Gita Persand","","","This paper compares a number of different extreme value models for determining the value at risk of three LIFFE futures contracts. A semi-nonparametric approach is also proposed where the tail events are modeled using the Generalised Pareto Distribution and normal market conditions are captured by the empirical distribution function. The value at risk estimates from this approach are compared with those of standard nonparametric extreme value tail estimation approaches, with a small sample bias-corrected extreme value approach, and with those calculated from bootstrapping the unconditional density and bootstrapping from a GARCH(1,1) model. The results indicate that for a hold-out sample, the proposed semi-nonparametric extreme value approach yields superior results to other methods, but the small sample tail index technique is also accurate.","In this paper, a semi-nonparametric extreme value approach is proposed for determining the value at risk of three LIFFE futures contracts. But the results indicate that for a hold-out sample, the proposed semi-parametric approach yields superior results to other methods, but the small sample tail index technique is also accurate."
"Introduction to Extreme Value Theory: Applications to Risk Analysis and Management","https://scispace.com/paper/introduction-to-extreme-value-theory-applications-to-risk-7pm7rf9y5g","2019","Book Chapter","","Marie Kratz","10.1007/978-3-030-04161-8_51","","We present an overview of Univariate Extreme Value Theory (EVT) providing standard and new tools to model the tails of distributions. One of the main issues in the statistical literature of extremes concerns the tail index estimation, which governs the probability of extreme occurrences. This estimation relies heavily on the determination of a threshold above which a Generalized Pareto Distribution (GPD) can be fitted. Approaches to this estimation may be classified into two classes, one qualified as ‘supervised’, using standard Peak Over Threshold (POT) methods, in which the threshold to estimate the tail is chosen graphically according to the problem, the other class collects unsupervised methods, where the threshold is algorithmically determined.","An overview of Univariate Extreme Value Theory (EVT) is presented, providing standard and new tools to model the tails of distributions, and approaches to this estimation may be classified into two classes, one qualified as ‘supervised’, and one using standard Peak Over Threshold methods."
"An Empirical Study for Comparison of Estimation Methods for Value at Risk, Tail Value at Risk, and Adjusted Tail Value at Risk Using Extreme Value Theory Approach to Stock Market Index","https://scispace.com/paper/an-empirical-study-for-comparison-of-estimation-methods-for-2y6sztz4","2022","Journal Article","Daya Matematis : Jurnal Inovasi Pendidikan Matematika","Sri Muslihah Bakhtiar
Amran H. Amran
Khaeruddin Khaeruddin","10.26858/jdm.v10i2.35702","https://scispace.com/pdf/an-empirical-study-for-comparison-of-estimation-methods-for-2y6sztz4.pdf","Risk management helps the financial industry to manage and estimate the risks that may occur by using risk measures. Financial series data mostly have a heavy tail distribution which causes the probability of extreme values to occur. To overcome these extreme values, it is necessary to apply a mathematical model in calculating risk estimates in financial data combined with the Extreme Value Theory approach. The Adjusted-TVaR model is a measure of the risk of modification of the TVaR model to eliminate outliers in the tail of the distribution. The purpose of this study is to measure the accuracy of the Value at Risk, Tail Value at Risk, and Adjusted Tail Value at Risk using the Peak Over Thresholdapproach in Extreme Value Theory Models.The results of the risk estimation research using the POT approach method, show that the higher the level of confidence and the chosen constant, the higher the value of Adj-TVaR presented. This value represents that the potential loss will be higher. The estimation results obtained that the VaR value is smaller than Adj-TVaR and Adj-TVaR is smaller than TVaR. This shows that Adj-TVaR is more efficient to use in terms of predicting risk value when compared to TVaR with the Peak Over Threshold approach","In this article , the POT approach was used to measure the accuracy of the Value at Risk, Tail value at risk, and Adjusted Tail Value at risk using the peak over threshold approach in Extreme Value Theory Models."
"An Application of Extreme Value Theory for Measuring Financial Risk","https://scispace.com/paper/an-application-of-extreme-value-theory-for-measuring-kmbdduc75n","2006","Journal Article","Computing in Economics and Finance","Manfred Gilli
Evis Kellezi","10.1007/S10614-006-9025-7","https://scispace.com/pdf/an-application-of-extreme-value-theory-for-measuring-kmbdduc75n.pdf","Assessing the probability of rare and extreme events is an important issue in the risk management of financial portfolios. Extreme value theory provides the solid fundamentals needed for the statistical modelling of such events and the computation of extreme risk measures. The focus of the paper is on the use of extreme value theory to compute tail risk measures and the related confidence intervals, applying it to several major stock market indices.","In this paper, the authors use extreme value theory to compute tail risk measures and the related confidence intervals, applying it to several major stock market indices, including the S&P 500 and the SVM."
"Bootstrap and empirical likelihood methods in extremes","https://scispace.com/paper/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7","2008","Journal Article","Extremes","Yongcheng Qi","10.1007/S10687-007-0049-8","https://scispace.com/pdf/bootstrap-and-empirical-likelihood-methods-in-extremes-3d7kfr42a7.pdf","One of the major interests in extreme-value statistics is to infer the tail properties of the distribution functions in the domain of attraction of an extreme-value distribution and to predict rare events. In recent years, much effort in developing new methodologies has been made by many researchers in this area so as to diminish the impact of the bias in the estimation and achieve some asymptotic optimality in inference problems such as estimating the optimal sample fractions and constructing confidence intervals of various quantities. In particular, bootstrap and empirical likelihood methods, which have been widely used in many areas of statistics, have drawn attention. This paper reviews some novel applications of the bootstrap and the empirical likelihood techniques in extreme-value statistics.","In this article, the authors review some novel applications of the bootstrap and the empirical likelihood techniques in extreme-value statistics, including estimating the optimal sample fractions and constructing confidence intervals of various quantities."
"The Bootstrap Methodology and Adaptive Reduced-bias Tail Index and Value-at-Risk Estimation","https://scispace.com/paper/the-bootstrap-methodology-and-adaptive-reduced-bias-tail-47kfwinrhg","2009","","","M. Ivette Gomes
Sandra Mendon
Dinis Pestana","","","Under a semi-parametric framework, we consider second-order minimum-variance reduced-bias (MVRB) estimators of a positive extreme value index, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (V aR) at a level p, the size of the loss occurred with a small probability p. For these MVRB estimators, we propose the use of bootstrap computer-intensive methods for the adaptive choice of thresholds. Applications in the elds of insurance","In this article, the second-order minimum-variance reduced-bias (MVRB) estimators of a positive extreme value index, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (V aR) at a level p, the size of the loss occurred with a small probability p."
"An Application of Extreme Value Theory for Measuring Financial Risk 1","https://scispace.com/paper/an-application-of-extreme-value-theory-for-measuring-42fygo1aoq","2006","","","Manfred Gilli
Evis Kellezi","","","Assessing the probability of rare and extreme events is an important issue in the risk management of flnancial portfolios. Extreme value theory provides the solid fundamentals needed for the statistical modelling of such events and the computation of extreme risk measures. The focus of the paper is on the use of extreme value theory to compute tail risk measures and the related confldence intervals, applying it to several major stock market indices.","In this paper, the use of extreme value theory to compute tail risk measures and the related confldence intervals, applying it to several major stock market indices, is discussed, and the focus of the paper is on the use this paper."
"The application of extreme value theory on computing value-at-risk of exchange rates","https://scispace.com/paper/the-application-of-extreme-value-theory-on-computing-value-1ihx4s4y45","2000","Journal Article","Journal of systems engineering","Zhan Yuan","","","As an integrated method to measure finance risks, value at risk(VaR) has been investigated widely in recent years. This paper introduces a new model to compute VaR - extreme value theory (EVT). It gives parametric estimations of the tail distribution by means of second order expansion. A percedure and program named “two step subsample bootstrap” was developed to find the start point of extreme and to estimate VaR. The computation result of JPY/USD foreign exchange rate presented at last proved that the EVT method has a good character in estimating VaR.","In this paper, the authors introduced a new model to compute value at risk (VaR) -extreme value theory (EVT) which gives parametric estimations of the tail distribution by means of second order expansion."
"On the estimation of extreme directional multivariate quantiles","https://scispace.com/paper/on-the-estimation-of-extreme-directional-multivariate-20kgn166kf","2016","Posted Content","arXiv: Applications","Raúl Torres
Elena Di Bernardino
Henry Laniado
Rosa E. Lillo","","https://arxiv.org/pdf/1610.08386.pdf","In multivariate extreme value theory (MEVT), the focus is on analysis outside of the observable sampling zone, which implies that the region of interest is associated to high risk levels. This work provides tools to include directional notions into the MEVT, giving the opportunity to characterize the recently introduced directional multivariate quantiles (DMQ) at high levels. Then, an out-sample estimation method for these quantiles is given. A bootstrap procedure carries out the estimation of the tuning parameter in this multivariate framework and helps with the estimation of the DMQ. Asymptotic normality for the proposed estimator is provided and the methodology is illustrated with simulated data-sets. Finally, a real-life application to a financial case is also performed.","In this paper, the authors provide tools to include directional notions into the MEVT, giving the opportunity to characterize the recently introduced directional multivariate quantiles (DMQ) at high levels."
"Extremal index estimation: application to financial data","https://scispace.com/paper/extremal-index-estimation-application-to-financial-data-1l2w57vp4j","2020","Book Chapter","","Maria Cristina Souto Miranda","10.4018/978-1-7998-2136-6.CH006","","In finance it is crucial to understand the risk of occurrence of extreme events such as currency crises or stock market crashes. It is important to model the distribution of extreme events. Extreme value theory is known to accurately estimate quantiles and tail probabilities of financial asset returns. These kinds of data are usual related to heavy tailed distributions, where a relevant parameter is the tail index. Fitting data to heavy tail distributions usually assumes independent observations. However, the most usual real market scenario describes clusters of extreme events rather than isolated records over some period of time. In that case, estimating tail probabilities includes estimating the extremal index. This chapter describes the usual extremal index estimators based in different approaches and illustrates their values for a real financial data set. Computations are provided by the use of suitable R packages.","In this article, the authors describe the usual extremal index estimators based in different approaches and illustrate their values for a real financial data set, using suitable R packages. But they do not consider the extreme value theory."
"Portfolio Tail Risk: A Multivariate Extreme Value Theory Approach.","https://scispace.com/paper/portfolio-tail-risk-a-multivariate-extreme-value-theory-2dpn8ilpxp","2020","Journal Article","Entropy","Miloš Božović","10.3390/E22121425","https://www.mdpi.com/1099-4300/22/12/1425/pdf","This paper develops a method for assessing portfolio tail risk based on extreme value theory. The technique applies separate estimations of univariate series and allows for closed-form expressions for Value at Risk and Expected Shortfall. Its forecasting ability is tested on a portfolio of U.S. stocks. The in-sample goodness-of-fit tests indicate that the proposed approach is better suited for portfolio risk modeling under extreme market movements than comparable multivariate parametric methods. Backtesting across multiple quantiles demonstrates that the model cannot be rejected at any reasonable level of significance, even when periods of stress are included. Numerical simulations corroborate the empirical results.","The in-sample goodness-of-fit tests indicate that the proposed approach is better suited for portfolio risk modeling under extreme market movements than comparable multivariate parametric methods."
"Tail Empirical Processes: Limit Theorems and Bootstrap Techniques, with Applications to Risk Measures","https://scispace.com/paper/tail-empirical-processes-limit-theorems-and-bootstrap-1i981i2mkg","2018","Dissertation","","Hicham Loukrati","10.20381/RUOR-21861","https://scispace.com/pdf/tail-empirical-processes-limit-theorems-and-bootstrap-1i981i2mkg.pdf","Au cours des dernières années, des changements importants dans le domaine des assurances et des finances attirent de plus en plus l’attention sur la nécessité d’élaborer un cadre normalisé pour la mesure des risques. Récemment, il y a eu un intérêt croissant de la part des experts en assurance sur l’utilisation de l’espérance conditionnelle des pertes (CTE) parce qu’elle partage des propriétés considérées comme souhaitables et applicables dans diverses situations. En particulier, il répond aux exigences d’une mesure de risque “cohérente”, selon Artzner [2]. Cette thèse représente des contributions à l’inférence statistique en développant des outils, basés sur la convergence des intégrales fonctionnelles, pour l’estimation de la CTE qui présentent un intérêt considérable pour la science actuarielle. Tout d’abord, nous développons un outil permettant l’estimation de la moyenne conditionnelle E[X|X > x], ensuite nous construisons des estimateurs de la CTE, développons la théorie asymptotique nécessaire pour ces estimateurs, puis utilisons la théorie pour construire des intervalles de confiance. Pour la première fois, l’approche de bootstrap non paramétrique est explorée dans cette thèse en développant des nouveaux résultats applicables à la valeur à risque (VaR) et à la CTE. Des études de simulation illustrent la performance de la technique de bootstrap.","In this article, an estimator for the moyenne conditionnelle des pertes (CTE) is proposed, based on a théorie asymptotique nécessaire."
